settlement_date,settlement_period,period_start_utc,embedded_wind_mw,embedded_solar_mw,embedded_wind_capacity_mw,embedded_solar_capacity_mw
2023-01-01,1,2023-01-01T00:00:00Z,2815,0,6545,15037
2023-01-01,2,2023-01-01T00:30:00Z,2793,0,6545,15037
2023-01-01,3,2023-01-01T01:00:00Z,2773,0,6545,15037
2023-01-01,4,2023-01-01T01:30:00Z,2753,0,6545,15037
2023-01-01,5,2023-01-01T02:00:00Z,2712,0,6545,15037
2023-01-01,6,2023-01-01T02:30:00Z,2671,0,6545,15037
2023-01-01,7,2023-01-01T03:00:00Z,2615,0,6545,15037
2023-01-01,8,2023-01-01T03:30:00Z,2558,0,6545,15037
2023-01-01,9,2023-01-01T04:00:00Z,2511,0,6545,15037
2023-01-01,10,2023-01-01T04:30:00Z,2464,0,6545,15037
2023-01-01,11,2023-01-01T05:00:00Z,2380,0,6545,15037
2023-01-01,12,2023-01-01T05:30:00Z,2295,0,6545,15037
2023-01-01,13,2023-01-01T06:00:00Z,2226,0,6545,15037
2023-01-01,14,2023-01-01T06:30:00Z,2156,0,6545,15037
2023-01-01,15,2023-01-01T07:00:00Z,2077,0,6545,15037
2023-01-01,16,2023-01-01T07:30:00Z,1997,0,6545,15037
2023-01-01,17,2023-01-01T08:00:00Z,1953,0,6545,15037
2023-01-01,18,2023-01-01T08:30:00Z,1909,113,6545,15037
2023-01-01,19,2023-01-01T09:00:00Z,1888,515,6545,15037
2023-01-01,20,2023-01-01T09:30:00Z,1867,871,6545,15037
2023-01-01,21,2023-01-01T10:00:00Z,1851,1162,6545,15037
2023-01-01,22,2023-01-01T10:30:00Z,1835,1379,6545,15037
2023-01-01,23,2023-01-01T11:00:00Z,1839,1453,6545,15037
2023-01-01,24,2023-01-01T11:30:00Z,1843,1394,6545,15037
2023-01-01,25,2023-01-01T12:00:00Z,1803,1251,6545,15037
2023-01-01,26,2023-01-01T12:30:00Z,1762,1107,6545,15037
2023-01-01,27,2023-01-01T13:00:00Z,1693,959,6545,15037
2023-01-01,28,2023-01-01T13:30:00Z,1624,695,6545,15037
2023-01-01,29,2023-01-01T14:00:00Z,1534,512,6545,15037
2023-01-01,30,2023-01-01T14:30:00Z,1444,282,6545,15037
2023-01-01,31,2023-01-01T15:00:00Z,1377,94,6545,15037
2023-01-01,32,2023-01-01T15:30:00Z,1310,8,6545,15037
2023-01-01,33,2023-01-01T16:00:00Z,1234,0,6545,15037
2023-01-01,34,2023-01-01T16:30:00Z,1158,0,6545,15037
2023-01-01,35,2023-01-01T17:00:00Z,1119,0,6545,15037
2023-01-01,36,2023-01-01T17:30:00Z,1079,0,6545,15037
2023-01-01,37,2023-01-01T18:00:00Z,1044,0,6545,15037
2023-01-01,38,2023-01-01T18:30:00Z,1009,0,6545,15037
2023-01-01,39,2023-01-01T19:00:00Z,996,0,6545,15037
2023-01-01,40,2023-01-01T19:30:00Z,982,0,6545,15037
2023-01-01,41,2023-01-01T20:00:00Z,948,0,6545,15037
2023-01-01,42,2023-01-01T20:30:00Z,914,0,6545,15037
2023-01-01,43,2023-01-01T21:00:00Z,895,0,6545,15037
2023-01-01,44,2023-01-01T21:30:00Z,875,0,6545,15037
2023-01-01,45,2023-01-01T22:00:00Z,863,0,6545,15037
2023-01-01,46,2023-01-01T22:30:00Z,850,0,6545,15037
