settlement_date,settlement_period,period_start_utc,BIOMASS,CCGT,COAL,NPSHYD,NUCLEAR,OCGT,OIL,OTHER,PS,WIND,INTELEC,INTEW,INTFR,INTGRNL,INTIFA2,INTIRL,INTNED,INTNEM,INTNSL,INTVKL,INDO,ITSDO
2016-01-01,1,2016-01-01T00:00:00Z,,5716,3434,710,8289,0,0,2040,-108,4675,,104,1756,,,26,870,,,,,
2016-01-01,2,2016-01-01T00:30:00Z,,6670,3583,659,8292,0,0,2025,38,4334,,26,1756,,,24,882,,,,,
2016-01-01,3,2016-01-01T01:00:00Z,,6985,3865,643,8297,0,0,1944,-276,3994,,36,1756,,,76,874,,,,,
2016-01-01,4,2016-01-01T01:30:00Z,,6839,3772,642,8285,0,0,1982,-558,3615,,64,1756,,,-12,886,,,,,
2016-01-01,5,2016-01-01T02:00:00Z,,6775,3555,642,8279,0,0,2043,-490,3031,,20,1756,,,-102,880,,,,,
2016-01-01,6,2016-01-01T02:30:00Z,,6897,3323,642,8276,0,0,2040,-400,2585,,2,1756,,,-64,866,,,,,
2016-01-01,7,2016-01-01T03:00:00Z,,7340,3099,665,8266,0,0,2033,-1082,2361,,-72,1756,,,-100,868,,,,,
2016-01-01,8,2016-01-01T03:30:00Z,,6927,3229,862,8254,0,0,2036,-1766,2210,,-74,1756,,,-100,884,,,,,
2016-01-01,9,2016-01-01T04:00:00Z,,6510,3302,934,8236,0,0,2030,-1888,2067,,-74,1756,,,-100,886,,,,,
2016-01-01,10,2016-01-01T04:30:00Z,,6137,3328,960,8230,0,0,2043,-1886,1967,,-32,1756,,,-100,872,,,,,
2016-01-01,11,2016-01-01T05:00:00Z,,6038,3217,960,8216,0,0,2044,-1652,1852,,-2,1756,,,-60,864,,,,,
2016-01-01,12,2016-01-01T05:30:00Z,,5833,3350,961,8216,0,0,2044,-1736,1861,,62,1756,,,-90,870,,,,,
2016-01-01,13,2016-01-01T06:00:00Z,,5864,3521,939,8226,0,0,2034,-1606,2081,,92,1754,,,-14,860,,,,,
2016-01-01,14,2016-01-01T06:30:00Z,,6000,3499,895,8224,0,0,1987,-1352,2151,,152,1682,,,-24,880,,,,,
2016-01-01,15,2016-01-01T07:00:00Z,,6443,3683,1021,8224,0,0,2029,-452,2182,,246,324,,,12,820,,,,,
2016-01-01,16,2016-01-01T07:30:00Z,,6202,3709,981,8220,0,0,2030,-114,2287,,288,206,,,12,800,,,,,
2016-01-01,17,2016-01-01T08:00:00Z,,5756,3470,966,8224,0,0,2000,150,2409,,288,976,,,62,776,,,,,
2016-01-01,18,2016-01-01T08:30:00Z,,6102,3574,953,8224,0,0,2025,342,2528,,288,960,,,114,790,,,,,
2016-01-01,19,2016-01-01T09:00:00Z,,6196,3637,925,8223,0,0,2040,346,2609,,288,1984,,,32,986,,,,,
2016-01-01,20,2016-01-01T09:30:00Z,,7008,3676,902,8225,0,0,1994,404,2830,,286,1996,,,52,964,,,,,
2016-01-01,21,2016-01-01T10:00:00Z,,7931,3731,688,8224,0,0,2031,476,2938,,244,1996,,,164,966,,,,,
2016-01-01,22,2016-01-01T10:30:00Z,,8457,4032,757,8230,0,0,2041,478,3157,,108,1996,,,116,966,,,,,
2016-01-01,23,2016-01-01T11:00:00Z,,8931,4314,903,8231,0,0,2039,406,3372,,32,1996,,,34,976,,,,,
2016-01-01,24,2016-01-01T11:30:00Z,,9310,4529,925,8232,0,0,2043,370,3574,,18,1996,,,-64,1002,,,,,
2016-01-01,25,2016-01-01T12:00:00Z,,9591,4892,998,8232,0,0,2033,548,3508,,-64,1996,,,-54,1020,,,,,
2016-01-01,26,2016-01-01T12:30:00Z,,9576,5160,1009,8234,0,0,2043,584,3621,,-142,1996,,,-104,986,,,,,
2016-01-01,27,2016-01-01T13:00:00Z,,9451,4907,1029,8239,0,0,2043,626,3981,,-194,1996,,,-110,966,,,,,
2016-01-01,28,2016-01-01T13:30:00Z,,9317,4526,1036,8236,0,0,1983,644,4333,,-158,1996,,,-84,986,,,,,
2016-01-01,29,2016-01-01T14:00:00Z,,9528,4107,984,8232,0,0,2037,636,4524,,-150,1996,,,-4,992,,,,,
2016-01-01,30,2016-01-01T14:30:00Z,,9221,4307,819,8236,0,0,2043,612,4700,,-120,1996,,,70,1000,,,,,
2016-01-01,31,2016-01-01T15:00:00Z,,9379,4481,781,8234,0,0,2043,494,4866,,-106,1996,,,96,980,,,,,
2016-01-01,32,2016-01-01T15:30:00Z,,9924,4512,766,8237,0,0,2043,332,5047,,-106,1996,,,94,984,,,,,
2016-01-01,33,2016-01-01T16:00:00Z,,11316,4684,691,8237,0,0,2041,476,5259,,-106,1996,,,-30,956,,,,,
2016-01-01,34,2016-01-01T16:30:00Z,,11970,4720,692,8236,0,0,2042,762,5543,,-106,1996,,,-118,1002,,,,,
2016-01-01,35,2016-01-01T17:00:00Z,,12421,4835,707,8237,0,0,2042,556,5585,,-164,1996,,,-74,998,,,,,
2016-01-01,36,2016-01-01T17:30:00Z,,12195,4768,741,8231,0,0,2026,680,5501,,-272,1996,,,-62,1004,,,,,
2016-01-01,37,2016-01-01T18:00:00Z,,11932,4693,742,8231,0,0,2031,344,5468,,-270,1996,,,-178,996,,,,,
